resultId,raceId,driverId,constructorId,position,points
213,1116,4,117,13,0
214,1116,852,213,14,0
215,1116,807,210,15,0
216,1116,822,51,16,0
217,1116,855,51,17,0
218,1116,825,210,18,0
219,1116,858,3,19,0
220,1116,840,117,\N,0
221,1118,830,9,1,8
222,1118,846,1,2,7
223,1118,815,9,3,6
224,1118,847,131,4,5
225,1118,844,6,5,4
226,1118,852,213,6,3
227,1118,1,131,7,2
228,1118,832,6,8,1
229,1118,817,213,9,0
230,1118,857,1,10,0
231,1118,4,117,11,0
232,1118,840,117,12,0
233,1118,842,214,13,0
234,1118,839,214,14,0
235,1118,848,3,15,0
236,1118,825,210,16,0
237,1118,855,51,17,0
238,1118,807,210,18,0
239,1118,822,51,19,0
240,1118,858,3,20,0
241,1125,830,9,1,8
242,1125,1,131,2,7
243,1125,815,9,3,6
244,1125,844,6,4,5
245,1125,832,6,5,4
246,1125,846,1,6,3
247,1125,857,1,7,2
248,1125,847,131,8,1
249,1125,855,15,9,0
250,1125,825,210,10,0
251,1125,817,215,11,0
252,1125,822,15,12,0
253,1125,839,214,13,0
254,1125,840,117,14,0
255,1125,842,214,15,0
256,1125,852,215,16,0
257,1125,848,3,17,0
258,1125,858,3,18,0
259,1125,807,210,19,0
260,1125,4,117,20,0
261,1126,830,9,1,8
262,1126,844,6,2,7
263,1126,815,9,3,6
264,1126,817,215,4,5
265,1126,832,6,5,4
266,1126,857,1,6,3
267,1126,807,210,7,2
268,1126,852,215,8,1
269,1126,842,214,9,0
270,1126,858,3,10,0
271,1126,855,15,11,0
272,1126,847,131,12,0
273,1126,848,3,13,0
274,1126,822,15,14,0
275,1126,839,214,15,0
276,1126,1,131,16,0
277,1126,4,117,17,0
278,1126,825,210,18,0
279,1126,840,117,19,0
280,1126,846,1,20,0
281,1131,830,9,1,8
282,1131,857,1,2,7
283,1131,846,1,3,6
284,1131,847,131,4,5
285,1131,832,6,5,4
286,1131,1,131,6,3
287,1131,844,6,7,2
288,1131,815,9,8,1
289,1131,825,210,9,0
290,1131,840,117,10,0
291,1131,839,214,11,0
292,1131,842,214,12,0
293,1131,852,215,13,0
294,1131,817,215,14,0
295,1131,4,117,15,0
296,1131,858,3,16,0
297,1131,848,3,17,0
298,1131,822,15,18,0
299,1131,807,210,19,0
300,1131,855,15,20,0
301,1139,830,9,1,8
302,1139,832,6,2,7
303,1139,846,1,3,6
304,1139,844,6,4,5
305,1139,847,131,5,4
306,1139,1,131,6,3
307,1139,825,210,7,2
308,1139,807,210,8,1
309,1139,815,9,9,0
310,1139,857,1,10,0
311,1139,852,215,11,0
312,1139,861,3,12,0
313,1139,840,117,13,0
314,1139,842,214,14,0
315,1139,839,214,15,0
316,1139,859,215,16,0
317,1139,848,3,17,0
318,1139,4,117,18,0
319,1139,855,15,19,0
320,1139,822,15,20,0
